id,lat,lon,group,bicycle_parking,capacity,indoor,lit,covered,locked,access
node/5495327703,-37.9122625,145.1415308,BIOMEDICAL_IMAGING,nil,nil,nil,nil,nil,nil,nil
node/2417275473,-37.9079578,145.1343766,BUILDINGS_AND_PROPERTY,lockers,2,nil,nil,nil,nil,nil
node/2417275474,-37.9079558,145.1343474,BUILDINGS_AND_PROPERTY,stands,4,nil,nil,nil,nil,nil
node/1305389929,-37.9115339,145.1323544,CAMPUS_CENTRE,nil,nil,nil,nil,nil,nil,nil
node/1307406067,-37.9115176,145.1327446,CAMPUS_CENTRE,stands,12,no,no,no,nil,nil
node/2417275464,-37.912858,145.1335816,CAMPUS_CENTRE,stands,12,no,yes,no,nil,nil
node/2417275468,-37.9120801,145.132435,CAMPUS_CENTRE,stands,4,nil,nil,no,nil,nil
node/2417275470,-37.9122155,145.1330704,CAMPUS_CENTRE,stands,22,no,yes,no,nil,nil
node/2417275477,-37.9118558,145.1320407,CAMPUS_CENTRE,stands,4,nil,nil,no,nil,nil
node/2845347331,-37.9128984,145.1337725,CAMPUS_CENTRE,stands,12,no,yes,no,nil,nil
node/1899122341,-37.9162796,145.143637,EXT_151_WELLINGTON_RD,nil,8,nil,nil,nil,nil,nil
node/4050067000,-37.9158093,145.1504894,EXT_211_WELLINGTON_RD,nil,28,nil,nil,nil,nil,private
node/4050067003,-37.916004,145.1507066,EXT_211_WELLINGTON_RD,nil,14,nil,nil,nil,nil,nil
node/4450072515,-37.9167123,145.1511401,EXT_211_WELLINGTON_RD,nil,8,nil,nil,nil,nil,nil
node/9348034173,-37.9007472,145.1306394,EXT_264_FERNTREE_GULLY_RD,stands,nil,no,nil,no,nil,nil
node/13201911754,-37.9131903,145.1347222,FACULTY_OF_ART_ARTS_LAW,stands,10,no,no,no,nil,nil
node/1392014584,-37.9131653,145.1352683,FACULTY_OF_ART_ARTS_LAW,stands,8,no,no,yes,nil,nil
node/2417275461,-37.9133003,145.1302659,FACULTY_OF_ART_ARTS_LAW,stands,8,no,no,no,nil,nil
node/2417275465,-37.9123322,145.1321783,FACULTY_OF_ART_ARTS_LAW,stands,38,no,yes,yes,nil,nil
node/2417275478,-37.912584,145.1331868,FACULTY_OF_ART_ARTS_LAW,stands,50,no,yes,yes,nil,nil
node/2567145999,-37.9137358,145.1343468,FACULTY_OF_ART_ARTS_LAW,stands,12,nil,nil,no,nil,nil
node/3153688493,-37.9131171,145.1313429,FACULTY_OF_ART_ARTS_LAW,stands,8,nil,nil,no,nil,nil
node/2417275471,-37.9139318,145.1340831,FACULTY_OF_EDUCATION,stands,4,nil,nil,yes,nil,nil
node/2417275475,-37.9141171,145.134036,FACULTY_OF_EDUCATION,stands,4,nil,nil,yes,nil,nil
node/2417275476,-37.9139519,145.1340777,FACULTY_OF_EDUCATION,stands,2,nil,nil,yes,nil,nil
node/2567145998,-37.9139651,145.1341629,FACULTY_OF_EDUCATION,stands,5,nil,nil,yes,nil,nil
way/1436326837,-37.9138005,145.1321495,FACULTY_OF_EDUCATION,stands,28,no,yes,yes,nil,nil
node/1305475902,-37.9097875,145.1333561,FACULTY_OF_ENGINEERING_IT,nil,10,nil,nil,nil,nil,nil
node/13200278585,-37.9099897,145.1349141,FACULTY_OF_ENGINEERING_IT,stands,8,no,yes,no,nil,nil
node/1344310659,-37.9083525,145.1319594,FACULTY_OF_ENGINEERING_IT,stands,26,no,yes,yes,nil,nil
node/1344310663,-37.9083559,145.1320288,FACULTY_OF_ENGINEERING_IT,wall_loops,10,no,yes,yes,nil,nil
node/1899122321,-37.9108621,145.1338727,FACULTY_OF_ENGINEERING_IT,nil,8,nil,nil,nil,nil,nil
node/2873541049,-37.9100893,145.1347374,FACULTY_OF_ENGINEERING_IT,stands,8,no,yes,no,nil,nil
node/355017059,-37.9105162,145.1340538,FACULTY_OF_ENGINEERING_IT,nil,24,nil,nil,nil,nil,nil
node/355160319,-37.9099947,145.133307,FACULTY_OF_ENGINEERING_IT,nil,20,nil,nil,nil,nil,nil
node/355160332,-37.9097462,145.1324279,FACULTY_OF_ENGINEERING_IT,nil,68,nil,nil,nil,nil,nil
node/3573566895,-37.9086873,145.1318592,FACULTY_OF_ENGINEERING_IT,stands,8,no,nil,yes,nil,nil
node/3926364866,-37.9097703,145.1343057,FACULTY_OF_ENGINEERING_IT,stands,26,nil,nil,nil,nil,nil
node/3926364868,-37.9099947,145.1342976,FACULTY_OF_ENGINEERING_IT,stands,20,nil,nil,nil,nil,nil
node/4018968853,-37.9110806,145.1335943,FACULTY_OF_ENGINEERING_IT,nil,18,nil,nil,nil,nil,nil
way/1436128987,-37.910014,145.1355365,FACULTY_OF_ENGINEERING_IT,stands,36,no,yes,no,nil,nil
way/831645430,-37.9085303,145.1319554,PARKING_N1_W1,building,143,yes,yes,yes,yes,permit
node/1307412912,-37.911945,145.1295381,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,14,nil,nil,yes,nil,nil
node/1307413100,-37.9116191,145.1296453,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,16,nil,nil,yes,nil,nil
node/1307413110,-37.9112456,145.1296561,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,6,nil,nil,no,nil,nil
node/1307413111,-37.911238,145.129604,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,6,nil,nil,no,nil,nil
node/13202212906,-37.9128651,145.1292767,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,6,no,yes,no,nil,nil
node/13202212907,-37.9125644,145.1292971,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,12,no,yes,no,nil,nil
node/1367517631,-37.9123329,145.1313655,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,8,no,yes,yes,nil,nil
node/1410658604,-37.9124828,145.1313698,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,stands,6,no,yes,yes,nil,nil
node/1410658746,-37.912964,145.131263,FACULTY_OF_MEDICINE_NURSING_AND_HEALTH_SCIENCES,nil,12,nil,nil,nil,nil,nil
